"","Key","Item.Type","Publication.Year","Author","Title","Publication.Title","ISBN","ISSN","DOI","Url","Abstract.Note","Date","Date.Added","Date.Modified","Access.Date","Pages","Num.Pages","Issue","Volume","Number.Of.Volumes","Journal.Abbreviation","Short.Title","Series","Series.Number","Series.Text","Series.Title","Publisher","Place","Language","Rights","Type","Archive","Archive.Location","Library.Catalog","Call.Number","Extra","Notes","File.Attachments","Link.Attachments","Manual.Tags","Automatic.Tags","Editor","Series.Editor","Translator","Contributor","Attorney.Agent","Book.Author","Cast.Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed.Author","Scriptwriter","Words.By","Guest","Number","Edition","Running.Time","Scale","Medium","Artwork.Size","Filing.Date","Application.Number","Assignee","Issuing.Authority","Country","Meeting.Name","Conference.Name","Court","References","Reporter","Legal.Status","Priority.Numbers","Programming.Language","Version","System","Code","Code.Number","Section","Session","Committee","History","Legislative.Body"
"1","QIIN7IY6","journalArticle",2019,"Damiano, Matthew D.; Wilberg, Michael J.","Population dynamics of eastern oysters in the Choptank River Complex, Maryland during 1989-2015","Fisheries Research","","0165-7836","10.1016/j.fishres.2018.12.023",NA,"The eastern oyster (Crassostrea virginica) fishery in the Choptank River Complex (CRC), Maryland supports a large fishery. The CRC is also host to some of the largest oyster restoration projects in the world. Yet the relative effects of harvest and restoration on the population dynamics of eastern oyster in the CRC have not been assessed. We developed stage-based population models for each region of the CRC in AD Model Builder using dredge survey and harvest data provided by Maryland Department of Natural Resources from 1989 to 2015. Patterns in exploitation rates over time varied among regions. Abundance generally decreased during 1989-2003 and increased thereafter. Recruitment was greatest in the late 1990s, 2010, and 2012, which led to increases in abundance. Natural mortality was low across all regions during 2004-2015. Habitat, recruitment, and abundance declined 50-70% during 1989-2015, but fishery effort increased in years with higher abundance.","2019-04","3/25/19 20:55","3/25/19 20:55",NA,"196-207",NA,"","212",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000458939000024",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","IG2XAFCM","journalArticle",2019,"Johnson, Emma E.; Medina, Miles D.; Hernandez, Ada C. Bersoza; Kusel, Gregory A.; Batzer, Audrey N.; Angelini, Christine","Success of concrete and crab traps in facilitating Eastern oyster recruitment and reef development","Peerj","","2167-8359","10.7717/peerj.6488",NA,"Background: Abundance of the commercially and ecologically important Eastern oyster, Crassostrea virginica, has declined across the US Eastern and Gulf coasts in recent decades, spurring substantial efforts to restore oyster reefs. These efforts are widely constrained by the availability, cost, and suitability of substrates to support oyster settlement and reef establishment. In particular, oyster shell is often the preferred substrate but is relatively scarce and increasingly expensive. Thus, there is a need for alternative oyster restoration materials that are cost-effective, abundant, and durable. Methods: We tested the viability of two low-cost substrates-concrete and recycled blue crab (Callinectes sapidus) traps-in facilitating oyster recovery in a replicated 22-month field experiment at historically productive but now degraded intertidal oyster grounds on northwestern Florida's Nature Coast. Throughout the trial, we monitored areal oyster cover on each substrate; at the end of the trial, we measured the densities of oysters by size class (spat, juvenile, and market-size) and the biomass and volume of each reef. Results: Oysters colonized the concrete structures more quickly than the crab traps, as evidenced by significantly higher oyster cover during the first year of the experiment. By the end of the experiment, the concrete structures hosted higher densities of spat and juveniles, while the density of market-size oysters was relatively low and similar between treatments. The open structure of the crab traps led to the development of larger-volume reefs, while oyster biomass per unit area was similar between treatments. In addition, substrates positioned at lower elevations (relative to mean sea level) supported higher oyster abundance, size, and biomass than those less frequently inundated at higher elevations. Discussion: Together, these findings indicate that both concrete and crab traps are viable substrates for oyster reef restoration, especially when placed at lower intertidal elevations conducive to oyster settlement and reef development.","2/25/19","3/25/19 20:55","3/25/19 20:55",NA,"e6488",NA,"","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000459588900008",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","53KYFVLC","journalArticle",2019,"Theuerkauf, Seth J.; Eggleston, David B.; Puckett, Brandon J.","Integrating ecosystem services considerations within a GIS-based habitat suitability index for oyster restoration","Plos One","","1932-6203","10.1371/journal.pone.0210936",NA,"Geospatial habitat suitability index (HSI) models have emerged as powerful tools that integrate pertinent spatial information to guide habitat restoration efforts, but have rarely accounted for spatial variation in ecosystem service provision. In this study, we utilized satellite-derived chlorophyll a concentrations for Pamlico Sound, North Carolina, USA in conjunction with data on water flow velocities and dissolved oxygen concentrations to identify potential restoration locations that would maximize the oyster reef-associated ecosystem service of water filtration. We integrated these novel factors associated with oyster water filtration ecosystem services within an existing, 'Metapopulation Persistence' focused GIS-based, HSI model containing biophysical (e.g., salinity, oyster larval connectivity) and logistical(e.g., distance to nearest restoration material stockpile site) factors to identify suitable locations for oyster restoration that maximize long-term persistence of restored oyster populations and water filtration ecosystem service provision. Furthermore, we compared the 'Water Filtration' optimized HSI with the HSI optimized for 'Metapopulation Persistence,' as well as a hybrid model that optimized for both water filtration and metapopulation persistence. Optimal restoration locations (i.e., locations corresponding to the top 1% of suitability scores) were identified that were consistent among the three HSI scenarios (i.e., ""win-win"" locations), as well as optimal locations unique to a given HSI scenario (i.e., ""tradeoff"" locations). The modeling framework utilized in this study can provide guidance to restoration practitioners to maximize the cost-efficiency and ecosystem services value of habitat restoration efforts. Furthermore, the functional relationships between oyster water filtration and chlorophyll a concentrations, water flow velocities, and dissolved oxygen applied in this study can guide field- and lab-testing of hypotheses related to optimal conditions for oyster reef restoration to maximize water quality enhancement benefits.","1/25/19","3/25/19 20:55","3/25/19 20:55",NA,"e0210936",NA,"1","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000457037500075",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","YVIXNAXM","journalArticle",2019,"Baillie, Christopher J.; Grabowski, Jonathan H.","Factors affecting recruitment, growth and survival of the eastern oyster Crassostrea virginica across an intertidal elevation gradient in southern New England","Marine Ecology Progress Series","","0171-8630","10.3354/meps12830",NA,"Reef-building oysters are important coastal foundation species that provide ecosystem services. Overharvesting, destructive fishing practices, and environmental degradation have caused significant declines in global oyster populations, necessitating restoration efforts in many regions to rebuild oyster habitat and recover lost services. Understanding how biological and physical gradients regulate oyster recruitment, survivorship and growth will help guide future efforts to successfully restore oyster populations. We conducted a field experiment in Ipswich, Massachusetts, to quantify the effects of tidal elevation, predator exclusion, and reef vertical relief on oyster settlement, recruitment and survivorship. Oyster settlement was 3 times greater at the deepest intertidal elevation compared to the 2 shallower intertidal elevations. Reef vertical relief and predator exclusion did not affect oyster settlement or survivorship. Despite increased sedimentation and algal fouling with increasing depth, living oyster densities remained significantly elevated at the deepest intertidal elevation 8 mo after the experimental reefs were constructed. Oyster mortality during this period was highest (>70%) at our shallowest elevation treatment, likely the result of desiccation and food limitation. Meanwhile, mortality during the first winter post-recruitment was high across all elevations (all >64 %), with our deepest elevation treatment experiencing the highest mortality rate (90%). Our results suggest that there is a gradient in oyster settlement rates, which increase at lower elevation, and that the dominant drivers of mortality also likely vary with elevation. Our findings highlight the need for region-specific studies to quantify biological and physical gradients prior to large-scale restoration efforts.","1/17/19","3/25/19 20:55","3/25/19 20:55",NA,"119-132",NA,"","609",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000456207300008",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","FS8EL9RA","journalArticle",2018,"Grizzle, Raymond; Ward, Krystin; Geselbracht, Laura; Birch, Anne","DISTRIBUTION AND CONDITION OF INTERTIDAL EASTERN OYSTER (CRASSOSTREA VIRGINICA) REEFS IN APALACHICOLA BAY FLORIDA BASED ON HIGH-RESOLUTION SATELLITE IMAGERY","Journal of Shellfish Research","","0730-8000","10.2983/035.037.0514",NA,"The eastern oyster Crassostrea virginica is an important component of the ecology of Apalachicola Bay, Florida, and the economy of the region. Although oyster reefs in the Bay occur in both tidal zones, subtidal reefs have received the most attention because they support most of the oyster fishery. The present study provides new information on the distribution, condition, and ecology of the intertidal reefs, and assessed the general utility of high-resolution satellite imagery for routine monitoring of the extent and condition of intertidal oysters. Using online, freely available color imagery and manual interpretation, a total of 782 individual reefs ranging in size from similar to 3 m(2) to 3.9 ha (= 9.7 acres) and covering a total of 94 ha (233 ac) of bottom area were mapped. Field inspection and sampling of 100 individual intertidal reefs on November 12-16. 2016, confirmed wide differences in the number and areal coverage of reefs in the three major geographic regions in the Bay: 433 reefs covering a total of 56 ha (139 acres) in the western area (St. Vincent Sound); 113 reefs covering 8 ha (19 acres) in the central area; and 236 reefs covering 30 ha (75 acres) in the eastern area (St. George Sound). Most reefs in the western portion of the bay consisted of recently dead (""box"") oysters in all size classes, suggesting a recent massive mortality event. Mean densities (all size classes combined) of live oysters in the central and eastern areas were 42.9/m(2) (+/- 7.39; 1 SE) and 99.3/m(2) (+/- 13.22; 1 SE), respectively, with an overall mean shell height of 23.6 nun. Size-frequency histograms indicated only two year classes of live oysters, and the largest oyster collected was 84 mm. Although detailed quantitative comparisons with subtidal reefs were not possible, data from the present study suggest that intertidal reefs cover much less bottom area of the bay, but may contain much higher live oyster densities. The present study also demonstrated the use of high-resolution satellite imagery for mapping reefs as small as a few square meters in surface area, and the potential for estimating relative reef condition measured by live oyster density.","2018-12","3/25/19 20:55","3/25/19 20:55",NA,"1027-1038",NA,"5","37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000454313900014",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","NJVY6JWI","journalArticle",2018,"Kreeger, Danielle A.; Gatenby, Catherine M.; Bergstrom, Peter W.","RESTORATION POTENTIAL OF SEVERAL NATIVE SPECIES OF BIVALVE MOLLUSCS FOR WATER QUALITY IMPROVEMENT IN MID-ATLANTIC WATERSHEDS","Journal of Shellfish Research","","0730-8000","10.2983/035.037.0524",NA,"Bivalve molluscs provide water quality benefits throughout mid-Atlantic watersheds, such as Chesapeake Bay and the Delaware River basins. Whereas most of the attention has focused on the role of the eastern oyster Crassostrea virginica, there are many other bivalve species. in both salt and fresh waters, that provide similar benefits. This review summarizes current knowledge regarding the capacity of diverse mid-Atlantic bivalves to filter particles and potentially enhance water clarity and quality. Species with the greatest clearance rates and population carrying capacity were also considered for their restoration and enhancement potential. Compared with eastern oysters, several additional species of saltwater bivalves and freshwater mussels are reported to filter water at rates that merit restoration attention and have been shown to attain significant population sizes. More work is needed to estimate system-carrying capacity and to eliminate restoration bottlenecks for some species-all bivalve species have constraints on their distribution and abundance. Nevertheless, a diversified, watershed-wide bivalve restoration strategy is likely to be more successful than a monospecific focus because it would address pollutant issues in more diverse places and multiple habitats along the river to estuary continuum.","2018-12","3/25/19 20:55","3/25/19 20:55",NA,"1121-1157",NA,"5","37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000454313900024",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","8YUZQGSA","journalArticle",2018,"Rutledge, Kelsi M.; Alphin, Troy; Posey, Martin","Fish Utilization of Created vs. Natural Oyster Reefs (Crassostrea virginica)","Estuaries and Coasts","","1559-2723","10.1007/s12237-018-0433-4",NA,"Once viewed as an inexhaustible fishery resource, eastern oyster reefs (Crassostrea virginica) have been dramatically depleted. In North Carolina alone, eastern oyster harvests have declined by 90% since the early 1900s. However, eastern oyster restoration and management efforts have substantially increased since the 1970s. Oyster reefs provide habitat and refuge for organisms, improve water quality, and decrease erosion. Oyster restoration projects aim to construct reefs that function similarly to their natural counterparts. Therefore, post-creation monitoring of these reefs is crucial in determining restoration success. However, monitoring is often lacking or focused only on oyster density and size rather than ecosystem functions such as nekton utilization. This study examines nekton utilization among created reefs compared to natural reefs in an estuary in Wilmington, North Carolina. The objective was to determine whether the created reefs function similarly to the natural reefs in abundance, species richness, and fish size. Using seine nets and Breder traps, reefs were sampled over a 5-month period. No significant difference was detected among reefs for nekton abundance, species richness, and standard length. This is a promising result for future management, indicating that created and natural reefs can support similar communities of fishes and shrimp.","2018-12","3/25/19 20:55","3/25/19 20:55",NA,"2426-2432",NA,"8","41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000448508400020",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","TCDMXXP4","journalArticle",2018,"McFarland, Katherine; Hare, Matthew P.","Restoring oysters to urban estuaries: Redefining habitat quality for eastern oyster performance near New York City","Plos One","","1932-6203","10.1371/journal.pone.0207368",NA,"Restoring and conserving coastal resilience faces increasing challenges under current climate change predictions. Oyster restoration, in particular, faces threats from alterations in precipitation, warming water temperatures, and urbanization of coastlines that dramatically change salinity patterns, foster the proliferation and spread disease, and disrupt habitat connectivity, respectively. New York City (NYC) coastal waters, once home to a booming oyster fishery for eastern oysters (Crassostrea virginica), are now nearly devoid of live oyster reefs. Oyster restoration in urban estuaries is motivated by the synergistic ecosystem benefits this native keystone species can deliver. Recent surveys have documented substantial remnant populations of adult oysters in the upper low salinity zone of the Hudson/Raritan Estuary (HRE) near Tarrytown, NY. This study assessed fitness-related performance across the HRE salinity gradient to evaluate habitat suitability on an estuarine scale. Oysters were hatchery-produced from wild, moderate-salinity broodstock, then outplanted for measurement of growth, survival, reproduction and disease prevalence over two years. Survival was generally higher in the lower salinity river sites and in the higher salinity Jamaica Bay sites relative to mesohaline NYC harbor sites. Growth rate was highest in Jamaica Bay and had high variation among other sites. Surprisingly, the highest proportion of individuals with sex-differentiated gametes and the highest average gonad maturation index was found at a low salinity site. Consistent with the advanced gametogenesis measured in experimental animals at low salinity, annual wild recruitment was documented near the low salinity remnant population in each of five monitored years. These results suggest that the remnant HRE oyster population is a robust, self-sustaining population that can be leveraged to support restoration of subpopulations in other parts of the estuary, but further research is required to determine if the mesohaline and near-ocean reaches of the HRE can support the full oyster life cycle.","11/16/18","3/25/19 20:55","3/25/19 20:55",NA,"e0207368",NA,"11","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000450420900029",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2F5CCJGL","journalArticle",2018,"Grizzle, Raymond E.; Rasmussen, Anna; Martignette, A. J.; Ward, Krystin; Coen, Loren D.","Mapping seston depletion over an intertidal eastern oyster (Crassostrea virginica) reef: Implications for restoration of multiple habitats","Estuarine Coastal and Shelf Science","","0272-7714","10.1016/j.ecss.2018.07.013",NA,"Research on the effects of bivalve filtration emphasizing oysters has mainly involved extrapolations from laboratory based measurements on individual oysters to potential whole-ecosystem impacts, with only a few studies on reef-scale processes and less using direct measurements. This study characterized spatial effects of whole-reef (oysters, Crassostrea virginica, and other filter feeders on the reef) filtration in the water immediately above and adjacent to a small ( similar to 300 m(2)) intertidal reef in Tarpon Bay, Sanibel, Florida. Changes in water column parameters were measured in 2010 (chlorophyll a only) and 2013 (chlorophyll a and turbidity) by slowly paddling a kayak back-and-forth across the reef while logging position and water data. Although oysters were the dominant filter feeder, mussels, slipper shells, sponges, and a filter-feeding crab also occurred on the reef. Ambient water flow speed and direction were concurrently determined in 2013 by an acoustic-doppler current profiler. Measurements were made on two days (1-2 June) in 2010, and two days (November 15 and December 9) in 2013. ArcGIS software was used to plot the data and construct two-dimensional maps showing changes in chlorophyll a and turbidity, which clearly indicated the spatial extent of decreases in both as water flowed across the reef. Seston decrease (interpreted as depletion) levels were spatially variable, averaging 23-25% but as high as 68% in some areas directly over the reef. The extent of detectable depletion usually extended 10-20 m beyond the edge of the reef, potentially increasing light levels and thereby providing enhanced growth conditions for adjacent seagrasses and algae, suggesting that restoration success of macrophyte habitats could be enhanced by close spatial coupling with oyster reef restoration.","11/15/18","3/25/19 20:55","3/25/19 20:55",NA,"265-272",NA,"","212",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000446286100026",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","J8DZ3UYJ","journalArticle",2018,"Lipcius, Romuald N.; Burke, Russell P.","Successful recruitment, survival and long-term persistence of eastern oyster and hooked mussel on a subtidal, artificial restoration reef system in Chesapeake Bay","Plos One","","1932-6203","10.1371/journal.pone.0204329",NA,"Restoration efforts with native eastern oyster, Crassostrea virginica, in Chesapeake Bay and elsewhere have been limited by shell availability, necessitating the use of alternative structures as subtidal reefs, yet these have rarely been evaluated quantitatively. We quantified population structure, density, abundance and biomass of eastern oyster and hooked mussel, Ischadium recurvum, on a concrete modular reef (75 m(2) surface area over 5 m(2) of river bottom) deployed subtidally at 7 m depth in the Rappahannock River, Virginia during October, 2000. After nearly 5 y (May 2005), we took 120 stratified random samples over the reef. The reef was heavily colonized by 28-168 oysters and 14-2177 mussels m(-2) surface area. These densities translate to 1085 oysters and 8617 mussels m(-2) river bottom, which are the highest recorded for artificial oyster reefs. Size structure of oysters reflected four year classes, with over half of oysters more than 1 y old and of reproductive age. Oyster biomass (1663 g dry mass m(-2) river bottom) and condition index were equally high, whereas parasite prevalence and intensity were low. Oyster density correlated positively in a sigmoid fashion with mussel density up to high densities, then declined. This modular reef is one of the most successful artificial reefs for eastern oyster and hooked mussel restoration, and details features that are conducive for successful settlement, growth and survival in subtidal habitats.","10/15/18","3/25/19 20:55","3/25/19 20:55",NA,"e0204329",NA,"10","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000447417900006",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
